Measure,Year,TravelType,Reason,UNIT,Value
Number of Trips by Irish Residents,2010,Domestic,Work/looking for work,Thousand,113.0
Number of Trips by Irish Residents,2010,Domestic,Sporting events,Thousand,237.0
Number of Trips by Irish Residents,2010,Domestic,Other reasons,Thousand,476.0
Number of Trips by Irish Residents,2010,Outbound,All reasons for journey,Thousand,6917.0
Number of Trips by Irish Residents,2010,Outbound,Holiday,Thousand,3964.0
Number of Trips by Irish Residents,2010,Outbound,Business,Thousand,621.0
Number of Trips by Irish Residents,2010,Outbound,Visiting friends/relatives,Thousand,1592.0
Number of Trips by Irish Residents,2010,Outbound,Education and training,Thousand,121.0
Number of Trips by Irish Residents,2010,Outbound,Work/looking for work,Thousand,98.0
Number of Trips by Irish Residents,2010,Outbound,Sporting events,Thousand,224.0
Number of Trips by Irish Residents,2010,Outbound,Other reasons,Thousand,297.0
Number of Trips by Irish Residents,2011,Domestic,All reasons for journey,Thousand,7169.0
Number of Trips by Irish Residents,2011,Domestic,Holiday,Thousand,3696.0
Number of Trips by Irish Residents,2011,Domestic,Business,Thousand,350.0
Number of Trips by Irish Residents,2011,Domestic,Visiting friends/relatives,Thousand,2231.0
Number of Trips by Irish Residents,2011,Domestic,Education and training,Thousand,83.0
Number of Trips by Irish Residents,2011,Domestic,Work/looking for work,Thousand,121.0
Number of Trips by Irish Residents,2011,Domestic,Sporting events,Thousand,238.0
Number of Trips by Irish Residents,2011,Domestic,Other reasons,Thousand,449.0
Number of Trips by Irish Residents,2011,Outbound,All reasons for journey,Thousand,6514.0
Number of Trips by Irish Residents,2011,Outbound,Holiday,Thousand,3433.0
Number of Trips by Irish Residents,2011,Outbound,Business,Thousand,651.0
Number of Trips by Irish Residents,2011,Outbound,Visiting friends/relatives,Thousand,1662.0
Number of Trips by Irish Residents,2011,Outbound,Education and training,Thousand,90.0
Number of Trips by Irish Residents,2011,Outbound,Work/looking for work,Thousand,113.0
Number of Trips by Irish Residents,2011,Outbound,Sporting events,Thousand,252.0
Number of Trips by Irish Residents,2011,Outbound,Other reasons,Thousand,313.0
Number of Trips by Irish Residents,2012,Domestic,All reasons for journey,Thousand,8291.0
Number of Trips by Irish Residents,2012,Domestic,Holiday,Thousand,4036.0
Number of Trips by Irish Residents,2012,Domestic,Business,Thousand,350.0
Number of Trips by Irish Residents,2012,Domestic,Visiting friends/relatives,Thousand,2765.0
Number of Trips by Irish Residents,2012,Domestic,Education and training,Thousand,155.0
Number of Trips by Irish Residents,2012,Domestic,Work/looking for work,Thousand,130.0
